,Rank,Gender,Forename,Incidence,Frequency,freq,gender,m,f
349,350, 73%,Damilola,"94,371","1:1,882",0.0005313496280552603,0.73,0.73,0.27
350,351,100%,Queen,"94,172","1:1,886",0.0005302226935312832,1.0,1.0,0.0
351,352,100%,Augustina,"94,012","1:1,889",0.0005293806246691371,1.0,1.0,0.0
352,353,100%,Modu,"93,189","1:1,905",0.0005249343832020997,1.0,1.0,0.0
353,354,100%,Desmond,"92,787","1:1,914",0.0005224660397074191,1.0,1.0,0.0
354,355,100%,Ahmadu,"92,703","1:1,915",0.0005221932114882506,1.0,1.0,0.0
355,356,100%,Ashiru,"92,329","1:1,923",0.0005200208008320333,1.0,1.0,0.0
356,357,100%,Bashiru,"91,880","1:1,933",0.0005173305742369374,1.0,1.0,0.0
357,358,88% ,Effiong,"91,701","1:1,936",0.0005165289256198347,0.88,0.88,0.12
358,359,100%,Margaret,"91,147","1:1,948",0.000513347022587269,1.0,1.0,0.0
359,360,90% ,Chima,"90,884","1:1,954",0.0005117707267144319,0.9,0.9,0.09999999999999998
360,361, 84%,Nana,"90,731","1:1,957",0.000510986203372509,0.84,0.84,0.16000000000000003
