,Rank,Gender,Forename,Incidence,Frequency,freq,gender,m,f
115,116,100%,Baba,"234,496",1:757,0.001321003963011889,1.0,1.0,0.0
116,117,97% ,Muhammadu,"230,436",1:771,0.0012970168612191958,0.97,0.97,0.030000000000000027
117,118,100%,Ismail,"227,525",1:780,0.001282051282051282,1.0,1.0,0.0
118,119,100%,Hauwau,"227,303",1:781,0.0012804097311139564,1.0,1.0,0.0
119,120,100%,Stella,"226,353",1:784,0.0012755102040816326,1.0,1.0,0.0
120,121,100%,Murtala,"223,377",1:795,0.0012578616352201257,1.0,1.0,0.0
121,122,100%,Isaac,"222,922",1:797,0.0012547051442910915,1.0,1.0,0.0
122,123,100%,Ifeoma,"222,289",1:799,0.0012515644555694619,1.0,1.0,0.0
123,124,100%,Gabriel,"219,295",1:810,0.0012345679012345679,1.0,1.0,0.0
124,125,100%,Joshua,"219,161",1:810,0.0012345679012345679,1.0,1.0,0.0
125,126,100%,Dahiru,"219,062",1:811,0.0012330456226880395,1.0,1.0,0.0
126,127,100%,Sale,"217,595",1:816,0.0012254901960784314,1.0,1.0,0.0
127,128,100%,Hamza,"215,614",1:824,0.0012135922330097086,1.0,1.0,0.0
128,129,100%,Funmilayo,"215,203",1:825,0.0012121212121212121,1.0,1.0,0.0
129,130,100%,Maria,"214,755",1:827,0.0012091898428053204,1.0,1.0,0.0
130,131,100%,Nuhu,"214,393",1:828,0.0012077294685990338,1.0,1.0,0.0
131,132,100%,Gloria,"213,320",1:832,0.001201923076923077,1.0,1.0,0.0
132,133,100%,Augustine,"212,413",1:836,0.0011961722488038277,1.0,1.0,0.0
133,134,67% ,Uche,"210,181",1:845,0.001183431952662722,0.67,0.67,0.32999999999999996
134,135,100%,Patrick,"209,962",1:846,0.001182033096926714,1.0,1.0,0.0
135,136,97% ,Christian,"208,540",1:851,0.0011750881316098707,0.97,0.97,0.030000000000000027
136,137,100%,Auwalu,"206,176",1:861,0.0011614401858304297,1.0,1.0,0.0
137,138, 95%,Toyin,"205,863",1:863,0.0011587485515643105,0.95,0.95,0.050000000000000044
138,139,100%,Hajara,"205,552",1:864,0.0011574074074074073,1.0,1.0,0.0
139,140, 83%,Chika,"204,016",1:870,0.0011494252873563218,0.83,0.83,0.17000000000000004
140,141,50% ,Idowu,"203,667",1:872,0.0011467889908256881,0.5,0.5,0.5
141,142,75% ,Uchenna,"203,345",1:873,0.001145475372279496,0.75,0.75,0.25
142,143,100%,Felix,"197,548",1:899,0.0011123470522803114,1.0,1.0,0.0
143,144,100%,Oluchi,"195,935",1:906,0.0011037527593818985,1.0,1.0,0.0
144,145, 76%,Temitope,"192,519",1:922,0.0010845986984815619,0.76,0.76,0.24
145,146,100%,Peace,"192,239",1:924,0.0010822510822510823,1.0,1.0,0.0
146,147,100%,Henry,"192,126",1:924,0.0010822510822510823,1.0,1.0,0.0
147,148,100%,Roseline,"190,266",1:933,0.0010718113612004287,1.0,1.0,0.0
148,149,100%,Habiba,"189,399",1:938,0.0010660980810234541,1.0,1.0,0.0
149,150,100%,Innocent,"189,026",1:939,0.0010649627263045794,1.0,1.0,0.0
150,151,100%,Yau,"188,062",1:944,0.001059322033898305,1.0,1.0,0.0
151,152,100%,Ado,"187,755",1:946,0.0010570824524312897,1.0,1.0,0.0
152,153,100%,Juliet,"187,448",1:947,0.0010559662090813093,1.0,1.0,0.0
153,154,100%,Obinna,"186,265",1:953,0.001049317943336831,1.0,1.0,0.0
154,155, 88%,Gift,"186,079",1:954,0.0010482180293501049,0.88,0.88,0.12
155,156,100%,Abdul,"183,760",1:966,0.0010351966873706005,1.0,1.0,0.0
156,157,100%,Eunice,"182,148",1:975,0.0010256410256410256,1.0,1.0,0.0
157,158,100%,Shuaibu,"181,638",1:978,0.0010224948875255625,1.0,1.0,0.0
158,159,100%,Charles,"181,510",1:978,0.0010224948875255625,1.0,1.0,0.0
159,160,100%,Justina,"181,078",1:981,0.0010193679918450561,1.0,1.0,0.0
160,161,100%,Aminat,"180,460",1:984,0.0010162601626016261,1.0,1.0,0.0
161,162,100%,Bose,"177,292","1:1,002",0.000998003992015968,1.0,1.0,0.0
162,163,100%,Hamisu,"176,737","1:1,005",0.0009950248756218905,1.0,1.0,0.0
163,164,97% ,Audu,"176,098","1:1,008",0.000992063492063492,0.97,0.97,0.030000000000000027
164,165,100%,Samaila,"175,712","1:1,011",0.0009891196834817012,1.0,1.0,0.0
165,166,100%,Kabir,"175,475","1:1,012",0.0009881422924901185,1.0,1.0,0.0
166,167,100%,Veronica,"174,599","1:1,017",0.0009832841691248771,1.0,1.0,0.0
167,168,100%,Jamila,"174,490","1:1,018",0.0009823182711198428,1.0,1.0,0.0
168,169,99% ,Sule,"173,441","1:1,024",0.0009765625,0.99,0.99,0.010000000000000009
169,170,100%,Ayuba,"171,447","1:1,036",0.0009652509652509653,1.0,1.0,0.0
170,171,100%,Rebecca,"171,234","1:1,037",0.0009643201542912247,1.0,1.0,0.0
171,172,100%,Simon,"171,111","1:1,038",0.0009633911368015414,1.0,1.0,0.0
172,173,100%,Rita,"170,826","1:1,039",0.0009624639076034649,1.0,1.0,0.0
173,174,100%,Johnson,"168,626","1:1,053",0.000949667616334283,1.0,1.0,0.0
174,175,99% ,Adam,"167,557","1:1,060",0.0009433962264150943,0.99,0.99,0.010000000000000009
175,176,100%,Suleman,"167,529","1:1,060",0.0009433962264150943,1.0,1.0,0.0
176,177,100%,Segun,"167,236","1:1,062",0.0009416195856873823,1.0,1.0,0.0
177,178, 96%,Favour,"165,895","1:1,070",0.0009345794392523365,0.96,0.96,0.040000000000000036
178,179, 98%,Bukola,"165,430","1:1,073",0.0009319664492078285,0.98,0.98,0.020000000000000018
179,180,100%,Wasiu,"165,050","1:1,076",0.0009293680297397769,1.0,1.0,0.0
180,181,100%,Sanusi,"164,934","1:1,077",0.0009285051067780873,1.0,1.0,0.0
181,182,100%,Benjamin,"164,582","1:1,079",0.0009267840593141798,1.0,1.0,0.0
182,183,96% ,Lucky,"164,452","1:1,080",0.000925925925925926,0.96,0.96,0.040000000000000036
183,184, 84%,Precious,"164,109","1:1,082",0.0009242144177449168,0.84,0.84,0.16000000000000003
184,185,100%,Iyabo,"163,474","1:1,086",0.0009208103130755065,1.0,1.0,0.0
185,186,100%,Theresa,"163,434","1:1,086",0.0009208103130755065,1.0,1.0,0.0
186,187,100%,Yunusa,"163,298","1:1,087",0.0009199632014719411,1.0,1.0,0.0
187,188,100%,Juliana,"162,607","1:1,092",0.0009157509157509158,1.0,1.0,0.0
188,189,100%,Abigail,"162,145","1:1,095",0.0009132420091324201,1.0,1.0,0.0
189,190,100%,Rukayat,"161,824","1:1,097",0.0009115770282588879,1.0,1.0,0.0
190,191,100%,Salihu,"161,292","1:1,101",0.0009082652134423251,1.0,1.0,0.0
191,192,100%,Buhari,"156,699","1:1,133",0.00088261253309797,1.0,1.0,0.0
192,193,100%,Agnes,"156,337","1:1,136",0.0008802816901408451,1.0,1.0,0.0
193,194,100%,Dorcas,"155,184","1:1,144",0.0008741258741258741,1.0,1.0,0.0
194,195,100%,Josephine,"155,157","1:1,144",0.0008741258741258741,1.0,1.0,0.0
195,196, 66%,Opeyemi,"154,773","1:1,147",0.0008718395815170009,0.66,0.66,0.33999999999999997
196,197,84% ,Gambo,"154,762","1:1,147",0.0008718395815170009,0.84,0.84,0.16000000000000003
197,198,100%,Hussaini,"154,495","1:1,149",0.0008703220191470844,1.0,1.0,0.0
198,199,100%,Sadiq,"154,272","1:1,151",0.0008688097306689834,1.0,1.0,0.0
199,200,100%,Happiness,"154,113","1:1,152",0.0008680555555555555,1.0,1.0,0.0
200,201,100%,Saheed,"154,075","1:1,152",0.0008680555555555555,1.0,1.0,0.0
201,202,100%,Binta,"152,875","1:1,162",0.0008605851979345956,1.0,1.0,0.0
202,203,100%,Mathew,"152,678","1:1,163",0.0008598452278589854,1.0,1.0,0.0
203,204,100%,Okechukwu,"151,094","1:1,175",0.000851063829787234,1.0,1.0,0.0
204,205, 51%,Oluwaseun,"150,917","1:1,177",0.0008496176720475786,0.51,0.51,0.49
205,206,100%,Sadiya,"150,766","1:1,178",0.0008488964346349745,1.0,1.0,0.0
206,207,100%,Babatunde,"150,686","1:1,178",0.0008488964346349745,1.0,1.0,0.0
207,208,100%,Babangida,"150,497","1:1,180",0.000847457627118644,1.0,1.0,0.0
208,209,100%,Cecilia,"150,191","1:1,182",0.0008460236886632825,1.0,1.0,0.0
